"Name","Team","GS","G","IP","W","L","QS","SV","HLD","H","ER","HR","SO","BB","WHIP","K/9","BB/9","ERA","FIP","-1","WAR","RA9-WAR","playerid"
"Héctor Neris","HOU","0","43","43.0","2","2","0","1","10","36","18","6","48","16","1.22","10.15","3.39","3.72","3.84","","0.2","0.2","11804"
"James Kaprielian","OAK","13","17","73.0","4","6","4","0","0","72","38","12","65","26","1.34","7.99","3.19","4.69","4.73","","0.2","0.0","18331"
"Aaron Loup","LAA","0","36","36.0","2","2","0","1","8","33","15","4","35","12","1.25","8.81","2.94","3.62","3.75","","0.2","0.2","10343"
"Daniel Norris","CHC","0","30","30.0","1","1","0","0","5","26","12","3","32","12","1.28","9.76","3.55","3.71","3.77","","0.2","0.3","13475"
"Blake Treinen","LAD","0","22","22.0","1","1","0","0","0","20","9","2","24","8","1.25","9.52","3.27","3.57","3.59","","0.2","0.1","12572"
"Josh Staumont","KCR","0","38","38.0","2","2","0","7","5","32","17","4","42","19","1.34","10.10","4.42","3.94","3.97","","0.2","0.2","18335"
"Scott Effross","CHC","0","33","33.0","2","2","0","1","6","32","14","4","32","10","1.26","8.54","2.72","3.79","3.76","","0.2","0.3","18384"
"John Brebbia","SFG","0","35","35.0","2","2","0","0","7","31","15","4","37","12","1.23","9.46","3.01","3.86","3.77","","0.2","0.2","12777"
"Sam Hentges","CLE","0","38","38.0","2","2","0","0","8","33","15","4","39","14","1.25","9.47","3.42","3.58","3.74","","0.2","0.3","18548"
"Cionel Pérez","BAL","0","35","35.0","2","2","0","0","7","30","15","4","36","17","1.38","9.36","4.50","3.77","4.09","","0.2","0.2","19614"
"Paolo Espino","WSN","7","23","53.0","3","4","2","0","0","57","29","9","42","15","1.36","7.01","2.56","4.87","4.79","","0.2","0.2","8246"
"James Karinchak","CLE","0","22","22.0","1","1","0","0","0","17","8","2","28","11","1.27","11.74","4.62","3.51","3.59","","0.2","0.2","20151"
"Dakota Hudson","STL","15","20","92.0","5","6","6","0","0","99","48","11","60","41","1.52","5.87","3.98","4.72","4.81","","0.2","0.4","19206"
"Josh Winder","MIN","6","20","45.0","2","3","2","0","0","46","24","8","38","14","1.34","7.59","2.87","4.71","4.68","","0.2","0.0","24606"
"Adam Ottavino","NYM","0","38","38.0","2","2","0","1","8","31","16","4","44","18","1.29","10.55","4.25","3.73","3.72","","0.2","0.2","1247"
