"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","BsR","Fld","-1","Off","Def","WAR","playerid"
"Ian Happ","CHC","55","236","204","50","10","1","9","29","30","27","59","2","3","2","",".245",".338",".434",".772",".337","115","","0.0","0.5","","4.3","-2.1","1.1","17919"
"Giancarlo Stanton","NYY","43","183","161","41","7","0","11","26","31","19","51","1","0","0","",".254",".335",".511",".846",".362","138","","-0.6","0.1","","7.4","-2.9","1.1","4949"
"Ramón Laureano","OAK","53","236","209","49","11","0","9","28","27","19","59","5","7","3","",".235",".313",".417",".730",".320","112","","0.6","0.4","","3.9","-1.2","1.1","17128"
"Jonah Heim","TEX","36","151","136","33","7","0","5","16","18","12","29","1","1","0","",".242",".304",".409",".713",".311","103","","-0.2","-0.3","","0.3","1.7","1.1","16930"
"Jonathan India","CIN","51","233","202","50","11","1","7","30","22","21","52","6","4","2","",".248",".336",".413",".749",".330","107","","-0.1","0.0","","1.9","0.2","1.1","21523"
"Anthony Rizzo","NYY","49","217","185","45","8","1","10","29","30","23","35","7","3","1","",".245",".347",".457",".805",".349","129","","-0.9","0.6","","6.4","-3.1","1.1","3473"
"Amed Rosario","CLE","46","206","192","54","9","2","4","24","21","10","36","1","4","2","",".279",".318",".407",".725",".316","105","","0.4","0.0","","1.7","1.7","1.0","15518"
"Randy Arozarena","TBR","53","230","204","52","11","1","8","29","29","18","59","5","9","4","",".256",".330",".440",".770",".334","124","","-0.3","-0.3","","5.9","-3.2","1.0","19290"
"Andrés Giménez","CLE","51","208","189","48","10","1","6","23","24","11","46","5","6","2","",".252",".310",".417",".727",".317","106","","0.2","0.7","","1.6","1.6","1.0","19950"
"Taylor Ward","LAA","54","242","208","51","10","1","8","31","26","28","59","3","3","1","",".246",".341",".421",".762",".335","118","","0.1","-0.9","","5.1","-3.1","1.0","17548"
"Josh Rojas","ARI","50","220","192","48","11","1","5","27","22","24","48","1","6","2","",".249",".333",".396",".728",".321","104","","0.8","-0.4","","1.8","0.2","1.0","19734"
