"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","BsR","Fld","-1","Off","Def","WAR","playerid"
"Wagner Lagrange","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".245",".294",".379",".674",".295","-100","","0.0","0.0","","0.0","0.0","","sa875875"
"Austin Davidson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".307",".356",".663",".295","-100","","0.0","0.0","","0.0","0.0","","sa599216"
"Yonder Alonso","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".295",".376",".671",".295","-100","","0.0","0.0","","0.0","0.0","","2530"
"Heath Quinn","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".286",".387",".673",".295","-100","","0.0","0.0","","0.0","0.0","","sa737904"
"Shin-Soo Choo","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".310",".349",".659",".295","-100","","0.0","0.0","","0.0","0.0","","3174"
"Yoenis Cespedes","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".282",".392",".674",".295","-100","","0.0","0.0","","0.0","0.0","","13110"
"Juremi Profar","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".290",".382",".672",".294","-100","","0.0","0.0","","0.0","0.0","","sa736995"
"Nellie Rodriguez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".202",".276",".398",".674",".294","-100","","0.0","0.0","","0.0","0.0","","sa658264"
"Aaron Altherr","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".298",".364",".662",".294","-100","","0.0","0.0","","0.0","0.0","","11270"
"Nick Markakis","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".243",".307",".355",".663",".294","-100","","0.0","0.0","","0.0","0.0","","5930"
"Kendrys Morales","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".299",".363",".662",".294","-100","","0.0","0.0","","0.0","0.0","","8610"
"Kyle Mottice","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".244",".320",".333",".653",".294","-100","","0.0","0.0","","0.0","0.0","","sa3007655"
"Troy Stokes Jr.","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".296",".366",".662",".294","-100","","0.0","0.0","","0.0","0.0","","17478"
"Justin Bour","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".208",".296",".367",".663",".293","-100","","0.0","0.0","","0.0","0.0","","9744"
"Mikie Mahtook","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".284",".385",".669",".293","-100","","0.0","0.0","","0.0","0.0","","13130"
"Todd Frazier","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".292",".371",".663",".293","-100","","0.0","0.0","","0.0","0.0","","785"
"Carmen Benedetti","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".216",".303",".353",".656",".293","-100","","0.0","0.0","","0.0","0.0","","sa918269"
"Cheslor Cuthbert","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".292",".372",".663",".293","-100","","0.0","0.0","","0.0","0.0","","10473"
"Kevin Kramer","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".301",".358",".659",".292","-100","","0.0","0.0","","0.0","0.0","","17689"
"Mark Karaviotis","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".306",".349",".655",".292","-100","","0.0","0.0","","0.0","0.0","","sa738977"
"Brian Dozier","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".301",".356",".657",".292","-100","","0.0","0.0","","0.0","0.0","","9810"
"Patrick Leonard","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".294",".367",".661",".292","-100","","0.0","0.0","","0.0","0.0","","sa597839"
"L.T. Tolbert","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".252",".302",".362",".663",".292","-100","","0.0","0.0","","0.0","0.0","","sa876146"
"Mitch Nay","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".289",".373",".661",".292","-100","","0.0","0.0","","0.0","0.0","","sa657873"
"Roberto Ramos","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".202",".288",".372",".660",".292","-100","","0.0","0.0","","0.0","0.0","","sa829199"
"Yanio Perez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".232",".289",".377",".666",".292","-100","","0.0","0.0","","0.0","0.0","","sa975161"
"Nick Zammarelli III","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".288",".376",".664",".292","-100","","0.0","0.0","","0.0","0.0","","sa738401"
"Charcer Burks","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".307",".346",".652",".292","-100","","0.0","0.0","","0.0","0.0","","sa737838"
"Connor Panas","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".282",".384",".666",".292","-100","","0.0","0.0","","0.0","0.0","","sa875228"
"Matt Skole","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".201",".300",".352",".652",".291","-100","","0.0","0.0","","0.0","0.0","","12119"
"Freddy Galvis","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".291",".372",".663",".291","-100","","0.0","0.0","","0.0","0.0","","6609"
"Peter O'Brien","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".194",".281",".379",".661",".291","-100","","0.0","0.0","","0.0","0.0","","13288"
"Addison Russell","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".299",".356",".656",".291","-100","","0.0","0.0","","0.0","0.0","","14106"
"Jahmai Jones","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".299",".356",".654",".291","-100","","0.0","0.0","","0.0","0.0","","18872"
"Brendon Sanger","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".201",".295",".356",".651",".291","-100","","0.0","0.0","","0.0","0.0","","sa858055"
"Jhonny Santos","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".288",".375",".663",".291","-100","","0.0","0.0","","0.0","0.0","","sa828314"
"Bruce Caldwell","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".294",".363",".657",".291","-100","","0.0","0.0","","0.0","0.0","","sa658271"
"Dae-Ho Lee","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".250",".293",".374",".667",".290","-100","","0.0","0.0","","0.0","0.0","","18722"
"Greg Bird","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".205",".291",".365",".656",".290","-100","","0.0","0.0","","0.0","0.0","","14131"
"Dexter Fowler","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".300",".349",".649",".290","-100","","0.0","0.0","","0.0","0.0","","4062"
"José Pirela","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".289",".375",".664",".290","-100","","0.0","0.0","","0.0","0.0","","5485"
"Zack Zehner","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".294",".361",".655",".290","-100","","0.0","0.0","","0.0","0.0","","sa829122"
"Kristopher Negrón","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".294",".362",".656",".290","-100","","0.0","0.0","","0.0","0.0","","5306"
"Joe Panik","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".245",".309",".343",".652",".290","-100","","0.0","0.0","","0.0","0.0","","11936"
"Julian Leon","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".196",".298",".348",".646",".290","-100","","0.0","0.0","","0.0","0.0","","sa739577"
"Daniel Pinero","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".298",".351",".649",".290","-100","","0.0","0.0","","0.0","0.0","","sa738204"
"Ian Sagdal","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".294",".362",".656",".289","-100","","0.0","0.0","","0.0","0.0","","sa875695"
"Dilson Herrera","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".212",".281",".378",".659",".289","-100","","0.0","0.0","","0.0","0.0","","14335"
"Dwight Smith Jr.","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".299",".351",".651",".289","-100","","0.0","0.0","","0.0","0.0","","13473"
"Travis Jones","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".305",".339",".644",".289","-100","","0.0","0.0","","0.0","0.0","","sa829805"
"Sócrates Brito","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".287",".370",".658",".289","-100","","0.0","0.0","","0.0","0.0","","12944"
"Eric Thames","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".208",".285",".371",".656",".289","-100","","0.0","0.0","","0.0","0.0","","3711"
"Kade Scivicque","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".286",".373",".659",".289","-100","","0.0","0.0","","0.0","0.0","","sa875053"
"K.J. Harrison","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".280",".379",".659",".289","-100","","0.0","0.0","","0.0","0.0","","sa829382"
"Boog Powell","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".311",".327",".638",".289","-100","","0.0","0.0","","0.0","0.0","","15103"
"Gio Brusa","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".203",".274",".385",".659",".289","-100","","0.0","0.0","","0.0","0.0","","sa659068"
"Alex Avila","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".196",".310",".330",".640",".288","-100","","0.0","0.0","","0.0","0.0","","7476"
"Josh Reddick","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".240",".295",".360",".655",".288","-100","","0.0","0.0","","0.0","0.0","","3892"
"Rio Ruiz","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".288",".367",".655",".288","-100","","0.0","0.0","","0.0","0.0","","14103"
"Chad Spanberger","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".279",".381",".660",".288","-100","","0.0","0.0","","0.0","0.0","","sa3004242"
"Christopher Bostick","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".296",".356",".652",".288","-100","","0.0","0.0","","0.0","0.0","","13718"
"Ernie De La Trinidad","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".291",".360",".651",".288","-100","","0.0","0.0","","0.0","0.0","","sa3003955"
"Daniel Murphy","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".242",".292",".367",".658",".288","-100","","0.0","0.0","","0.0","0.0","","4316"
"Keegan McGovern","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".201",".282",".370",".652",".288","-100","","0.0","0.0","","0.0","0.0","","sa3006710"
"Mark Zagunis","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".303",".339",".642",".288","-100","","0.0","0.0","","0.0","0.0","","16565"
"Cristopher Cespedes","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".282",".374",".656",".288","-100","","0.0","0.0","","0.0","0.0","","sa872783"
"Ramiro Rodriguez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".292",".356",".648",".288","-100","","0.0","0.0","","0.0","0.0","","sa917287"
"Edwin Encarnación","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".205",".284",".365",".650",".288","-100","","0.0","0.0","","0.0","0.0","","2151"
"Jesus Valdez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".281",".375",".656",".287","-100","","0.0","0.0","","0.0","0.0","","sa3005492"
"Granden Goetzman","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".281",".373",".654",".287","-100","","0.0","0.0","","0.0","0.0","","sa597785"
"Rusney Castillo","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".243",".292",".365",".656",".287","-100","","0.0","0.0","","0.0","0.0","","17016"
"Dom Thompson-Williams","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".273",".386",".659",".287","-100","","0.0","0.0","","0.0","0.0","","sa829483"
"Zach Kirtley","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".294",".353",".647",".287","-100","","0.0","0.0","","0.0","0.0","","sa915820"
"Jake Adams","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".208",".265",".395",".660",".287","-100","","0.0","0.0","","0.0","0.0","","sa3003962"
"Hill Alexander","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".279",".375",".654",".287","-100","","0.0","0.0","","0.0","0.0","","sa1170495"
"Gareth Morgan","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".259",".404",".662",".287","-100","","0.0","0.0","","0.0","0.0","","sa828708"
"C.J. Chatham","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".251",".296",".357",".653",".287","-100","","0.0","0.0","","0.0","0.0","","sa873984"
"Jerrick Suiter","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".288",".364",".652",".287","-100","","0.0","0.0","","0.0","0.0","","sa599740"
"Jae-Gyun Hwang","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".241",".288",".365",".654",".287","-100","","0.0","0.0","","0.0","0.0","","19369"
"Robel García","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".203",".282",".370",".652",".287","-100","","0.0","0.0","","0.0","0.0","","13167"
"Stephen Wrenn","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".292",".354",".646",".287","-100","","0.0","0.0","","0.0","0.0","","sa738419"
"Yoel Yanqui","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".291",".358",".648",".287","-100","","0.0","0.0","","0.0","0.0","","sa3003437"
"Peter Maris","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".286",".364",".650",".286","-100","","0.0","0.0","","0.0","0.0","","sa877608"
"Eddy Martinez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".280",".371",".651",".286","-100","","0.0","0.0","","0.0","0.0","","sa914203"
"Mason Williams","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".297",".351",".647",".286","-100","","0.0","0.0","","0.0","0.0","","11859"
"Wilbis Santiago","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".254",".290",".364",".654",".286","-100","","0.0","0.0","","0.0","0.0","","sa862819"
"David Masters","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".285",".362",".647",".286","-100","","0.0","0.0","","0.0","0.0","","sa602586"
"Daniel Amaral","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".289",".357",".646",".286","-100","","0.0","0.0","","0.0","0.0","","sa3006712"
"David Thompson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".278",".372",".650",".286","-100","","0.0","0.0","","0.0","0.0","","sa659290"
"Dustin Fowler","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".275",".380",".655",".286","-100","","0.0","0.0","","0.0","0.0","","17098"
"Blake Allemand","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".293",".352",".644",".286","-100","","0.0","0.0","","0.0","0.0","","sa857217"
"Jon Kemmer","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".280",".367",".647",".286","-100","","0.0","0.0","","0.0","0.0","","sa738208"
"Tyler Marincov","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".275",".375",".650",".286","-100","","0.0","0.0","","0.0","0.0","","sa550348"
"Brock Holt","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".307",".330",".637",".285","-100","","0.0","0.0","","0.0","0.0","","9345"
"Jarrett Parker","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".197",".296",".341",".637",".285","-100","","0.0","0.0","","0.0","0.0","","11624"
"Jameson Fisher","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".292",".350",".643",".285","-100","","0.0","0.0","","0.0","0.0","","sa658576"
"Adam Jones","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".235",".284",".366",".650",".285","-100","","0.0","0.0","","0.0","0.0","","6368"
"Jhon Nuñez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".289",".356",".645",".285","-100","","0.0","0.0","","0.0","0.0","","sa736923"
"Zach Houchins","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".264",".392",".657",".285","-100","","0.0","0.0","","0.0","0.0","","sa599235"
"Preston Beck","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".291",".352",".642",".285","-100","","0.0","0.0","","0.0","0.0","","sa621361"
"Brandon Snyder","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".204",".271",".378",".649",".285","-100","","0.0","0.0","","0.0","0.0","","9856"
"Edgar Corcino","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".285",".362",".647",".285","-100","","0.0","0.0","","0.0","0.0","","sa502309"
"Michael Cruz","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".208",".279",".368",".648",".285","-100","","0.0","0.0","","0.0","0.0","","sa918049"
"Lorenzo Hampton","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".288",".353",".641",".285","-100","","0.0","0.0","","0.0","0.0","","sa3010678"
"Sebastián Elizalde","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".298",".340",".637",".285","-100","","0.0","0.0","","0.0","0.0","","sa544568"
"Rodrigo Orozco","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".303",".333",".635",".284","-100","","0.0","0.0","","0.0","0.0","","sa740813"
"Dan Gamache","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".307",".325",".632",".284","-100","","0.0","0.0","","0.0","0.0","","sa597966"
"Jesmuel Valentín","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".297",".340",".637",".284","-100","","0.0","0.0","","0.0","0.0","","14548"
"Samir Dueñez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".277",".371",".648",".284","-100","","0.0","0.0","","0.0","0.0","","sa739574"
"Eliezer Álvarez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".288",".351",".640",".284","-100","","0.0","0.0","","0.0","0.0","","sa657261"
"Neil Walker","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".296",".341",".638",".284","-100","","0.0","0.0","","0.0","0.0","","7539"
"Matt Szczur","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".283",".359",".642",".283","-100","","0.0","0.0","","0.0","0.0","","11255"
"Jimmy Kerrigan","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".271",".380",".651",".283","-100","","0.0","0.0","","0.0","0.0","","sa3005235"
"Ian Miller","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".303",".335",".639",".283","-100","","0.0","0.0","","0.0","0.0","","15156"
"Ben Zobrist","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".232",".304",".328",".632",".283","-100","","0.0","0.0","","0.0","0.0","","7435"
"Tyler Friis","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".302",".331",".633",".283","-100","","0.0","0.0","","0.0","0.0","","sa915593"
"Rudy Flores","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".212",".274",".371",".645",".283","-100","","0.0","0.0","","0.0","0.0","","sa621607"
"Billy Fleming","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".287",".352",".639",".283","-100","","0.0","0.0","","0.0","0.0","","sa836204"
"Ronny Rodríguez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".268",".382",".651",".283","-100","","0.0","0.0","","0.0","0.0","","11875"
"Randy César","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".290",".348",".637",".283","-100","","0.0","0.0","","0.0","0.0","","sa657542"
"Kody Eaves","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".282",".360",".641",".283","-100","","0.0","0.0","","0.0","0.0","","sa658290"
"Wilfredo Tovar","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".240",".300",".334",".635",".283","-100","","0.0","0.0","","0.0","0.0","","10416"
"Jake Elmore","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".312",".315",".627",".283","-100","","0.0","0.0","","0.0","0.0","","7290"
"Joantgel Segovia","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".291",".348",".639",".283","-100","","0.0","0.0","","0.0","0.0","","sa827979"
"Nolan Fontana","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".196",".306",".314",".620",".283","-100","","0.0","0.0","","0.0","0.0","","13267"
"Jason Kipnis","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".289",".347",".636",".282","-100","","0.0","0.0","","0.0","0.0","","9776"
"Jonathan Engelmann","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".212",".280",".359",".639",".282","-100","","0.0","0.0","","0.0","0.0","","sa3006858"
"Gabriel Guerrero","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".271",".377",".647",".282","-100","","0.0","0.0","","0.0","0.0","","14528"
"Eric Sogard","","3","12","11","3","1","0","0","1","1","1","2","0","0","0","",".240",".297",".340",".637",".282","-100","","0.0","-0.1","","-0.3","0.0","","7927"
"Sam Travis","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".285",".353",".638",".282","-100","","0.0","0.0","","0.0","0.0","","16263"
"Nick Conti","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".297",".333",".630",".282","-100","","0.0","0.0","","0.0","0.0","","sa3010844"
"Ronald Torreyes","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".246",".291",".349",".641",".282","-100","","0.0","0.0","","0.0","0.0","","11400"
"Matt Kemp","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".281",".360",".641",".282","-100","","0.0","0.0","","0.0","0.0","","5631"
"Chris Mariscal","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".291",".342",".633",".282","-100","","0.0","0.0","","0.0","0.0","","sa600255"
"Roberto Caro","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".216",".305",".319",".624",".282","-100","","0.0","0.0","","0.0","0.0","","sa657285"
"Mitchell Kranson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".289",".343",".632",".281","-100","","0.0","0.0","","0.0","0.0","","sa918156"
"Logan Taylor","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".276",".363",".639",".281","-100","","0.0","0.0","","0.0","0.0","","sa857838"
"Chad De La Guerra","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".281",".354",".636",".281","-100","","0.0","0.0","","0.0","0.0","","sa875729"
"Brian Schales","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".202",".282",".350",".632",".281","-100","","0.0","0.0","","0.0","0.0","","sa828808"
"Garabez Rosa","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".243",".276",".367",".643",".281","-100","","0.0","0.0","","0.0","0.0","","sa455978"
"Nicky Delmonico","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".284",".348",".632",".281","-100","","0.0","0.0","","0.0","0.0","","13157"
"Jared Walker","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".190",".278",".354",".632",".281","-100","","0.0","0.0","","0.0","0.0","","sa829364"
"Dylan Davis","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".204",".269",".370",".639",".280","-100","","0.0","0.0","","0.0","0.0","","sa709037"
"Mallex Smith","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".301",".324",".625",".280","-100","","0.0","0.0","","0.0","0.0","","13608"
"Lucas Duda","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".204",".269",".371",".640",".280","-100","","0.0","0.0","","0.0","0.0","","2502"
"Brandon Wagner","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".192",".287",".337",".624",".280","-100","","0.0","0.0","","0.0","0.0","","sa738979"
"Brandon Barnes","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".277",".359",".636",".280","-100","","0.0","0.0","","0.0","0.0","","629"
"Carlos Gómez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".216",".275",".362",".637",".280","-100","","0.0","0.0","","0.0","0.0","","4881"
"Ben Ruta","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".288",".342",".630",".280","-100","","0.0","0.0","","0.0","0.0","","sa918694"
"Daniel Johnson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".212",".270",".370",".640",".280","-100","","0.0","0.0","","0.0","0.0","","19643"
"Tony Renda","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".235",".291",".341",".632",".280","-100","","0.0","0.0","","0.0","0.0","","13443"
"James Adduci","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".232",".280",".358",".637",".280","-100","","0.0","0.0","","0.0","0.0","","6448"
"Mark Trumbo","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".275",".361",".636",".280","-100","","0.0","0.0","","0.0","0.0","","6876"
"Rosell Herrera","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".290",".341",".631",".280","-100","","0.0","0.0","","0.0","0.0","","11611"
"Michael O'Neill","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".281",".352",".633",".280","-100","","0.0","0.0","","0.0","0.0","","sa550175"
"Noel Cuevas","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".287",".343",".630",".280","-100","","0.0","0.0","","0.0","0.0","","11894"
"Alex Kowalczyk","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".277",".357",".635",".280","-100","","0.0","0.0","","0.0","0.0","","sa918272"
"Brett Netzer","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".289",".341",".630",".280","-100","","0.0","0.0","","0.0","0.0","","sa3004804"
"Yasmany Tomás","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".263",".379",".642",".280","-100","","0.0","0.0","","0.0","0.0","","17171"
"Brett Pope","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".297",".327",".624",".279","-100","","0.0","0.0","","0.0","0.0","","sa3004513"
"Carlos Asuaje","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".302",".318",".620",".279","-100","","0.0","0.0","","0.0","0.0","","15197"
"Grenny Cumana","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".244",".290",".342",".632",".279","-100","","0.0","0.0","","0.0","0.0","","sa735846"
"Chris Chinea","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".275",".363",".638",".279","-100","","0.0","0.0","","0.0","0.0","","sa827344"
"Mikey White","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".283",".346",".630",".279","-100","","0.0","0.0","","0.0","0.0","","sa658966"
"Erich Weiss","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".277",".357",".635",".279","-100","","0.0","0.0","","0.0","0.0","","sa737930"
"Francisco Peña","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".275",".364",".639",".279","-100","","0.0","0.0","","0.0","0.0","","8298"
"Yoel Romero","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".290",".341",".631",".279","-100","","0.0","0.0","","0.0","0.0","","sa872524"
"Levi Michael","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".286",".346",".632",".279","-100","","0.0","0.0","","0.0","0.0","","sa526207"
"Andrew Aplin","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".292",".330",".622",".279","-100","","0.0","0.0","","0.0","0.0","","sa502787"
